,City,Country,Date,Longitude,Latitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
86,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
87,Kirakira,SB,1547431584,161.92,-10.46,82.81,100,12,7.87
88,Dikson,RU,1547431417,80.55,73.51,0.64,94,80,30.69
89,Sao Joao do Piaui,BR,1547431585,-42.25,-8.36,70.39,93,68,10.16
90,Bambous Virieux,MU,1547427600,57.76,-20.34,78.8,74,40,9.17
91,New Norfolk,AU,1547429400,147.06,-42.78,75.2,33,0,13.87
92,New Norfolk,AU,1547429400,147.06,-42.78,75.2,33,0,13.87
93,Yellowknife,CA,1547427600,-114.38,62.45,-27.41,67,20,5.82
94,Gunnedah,AU,1547429400,150.25,-30.98,87.8,22,12,6.93
95,Tautira,PF,1547429400,-149.15,-17.73,82.4,74,90,16.11
96,Ugoofaaru,MV,1547431587,73,5.67,81.46,100,32,12.06
97,Bluff,AU,1547431581,149.07,-23.58,91.72,39,0,12.95
98,Bluff,AU,1547431581,149.07,-23.58,91.72,39,0,12.95
99,Hobart,AU,1547429400,147.33,-42.88,75.2,33,0,13.87
100,Fairbanks,US,1547427480,-147.72,64.84,-5.08,79,1,3
101,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
103,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
104,New Norfolk,AU,1547429400,147.06,-42.78,75.2,33,0,13.87
105,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
106,Port Alfred,ZA,1547431589,26.89,-33.59,66.61,98,88,7.09
108,Diourbel,SN,1547431590,-16.23,14.65,70.39,31,12,6.58
109,Huayang,CN,1547431590,115.49,23.62,63.64,75,44,3.11
110,Hilo,US,1547427180,-155.08,19.71,80.06,52,40,14.99
111,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
112,Lebu,ET,1547427600,38.73,8.96,48.2,45,0,3.36
114,Kaeo,NZ,1547431592,173.78,-35.1,70.84,65,64,16.71
115,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
116,Faanui,PF,1547431592,-151.75,-16.48,83.08,100,92,16.49
118,Tuatapere,NZ,1547431593,167.69,-46.13,57.61,93,0,6.64
119,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
120,Puri,ID,1547429400,112.45,-7.54,86,74,20,3.36
121,Castro,CL,1547427600,-73.76,-42.48,53.6,76,0,4.7
122,Torbay,CA,1547427600,-52.73,47.66,24.8,68,90,20.8
123,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
124,Lagoa,PT,1547429400,-8.45,37.14,44.6,75,0,6.93
125,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
126,Hithadhoo,MV,1547431583,73.08,-0.6,81.37,100,56,6.76
127,Dossor,KZ,1547431595,52.98,47.52,29.08,94,80,3.33
128,East London,ZA,1547431559,27.91,-33.02,69.76,100,0,5.08
129,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
130,Ancud,CL,1547427600,-73.83,-41.87,53.6,76,0,4.7
132,Campos Novos,BR,1547431496,-51.22,-27.4,66.16,96,32,3.62
133,Matamoros,US,1547430780,-97.51,25.87,57.2,86,1,5.82
134,Vaini,IN,1547427600,74.49,15.34,55.4,93,0,5.91
135,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
136,Barrow,AR,1547431414,-60.23,-38.31,64.09,97,92,10.16
137,Yellowknife,CA,1547427600,-114.38,62.45,-27.41,67,20,5.82
138,Vaini,IN,1547427600,74.49,15.34,55.4,93,0,5.91
139,Guerrero Negro,MX,1547431598,-114.04,27.97,57.61,95,76,5.01
140,Dillon,US,1547427180,-112.64,45.22,21.02,64,1,5.82
142,Mount Gambier,AU,1547427600,140.78,-37.83,84.2,35,8,5.82
143,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
144,Dikson,RU,1547431417,80.55,73.51,0.64,94,80,30.69
145,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
146,Atuona,PF,1547431570,-139.03,-9.8,81.28,100,100,14.7
147,Lagoa,PT,1547429400,-8.45,37.14,44.6,75,0,6.93
148,New Norfolk,AU,1547429400,147.06,-42.78,75.2,33,0,13.87
149,Zyryanka,RU,1547431600,150.89,65.73,-18.89,28,64,6.35
151,Severo-Kurilsk,RU,1547431439,156.12,50.68,31.24,100,64,6.13
152,Kapaa,US,1547427360,-159.32,22.08,78.98,68,40,6.93
153,Gushi,CN,1547431601,115.65,32.17,42.94,88,48,6.02
154,New Norfolk,AU,1547429400,147.06,-42.78,75.2,33,0,13.87
155,Butaritari,KI,1547431602,172.79,3.07,83.98,100,80,15.19
156,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
157,Cabo San Lucas,MX,1547426820,-109.91,22.89,73.4,64,5,4.7
158,Yuryevets,RU,1547431603,43.11,57.32,19.36,88,80,13.35
159,Nikolsk,RU,1547431603,45.45,59.53,19.72,86,80,7.76
160,Ribeira Grande,PT,1547431573,-28.7,38.52,61.3,100,76,12.35
161,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
162,Lhokseumawe,ID,1547431604,97.15,5.18,81.1,100,20,2.28
163,Ostrovnoy,RU,1547431604,39.51,68.05,16.21,98,80,11.83
164,Bambous Virieux,MU,1547427600,57.76,-20.34,78.8,74,40,9.17
166,Cape Town,ZA,1547427600,18.42,-33.93,59,82,0,3.36
167,Joao Pinheiro,BR,1547431606,-46.17,-17.74,66.88,92,32,4.74
168,Qaqortoq,GL,1547427000,-46.03,60.72,21.2,73,64,2.24
169,Kapaa,US,1547427360,-159.32,22.08,78.98,68,40,6.93
170,Eyl,SO,1547431606,49.82,7.98,72.46,99,36,13.47
171,Giresun,TR,1547430600,38.39,40.91,41,93,75,3.36
172,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
173,Meadow Lake,CA,1547431438,-108.44,54.13,17.47,84,88,4.52
174,Norman Wells,CA,1547427600,-126.83,65.28,-11.21,63,75,17.22
175,Georgetown,GY,1547427600,-58.16,6.8,78.8,78,40,9.17
176,Puerto Ayora,EC,1547431608,-90.35,-0.74,76.6,99,88,7.02
177,Butaritari,KI,1547431602,172.79,3.07,83.98,100,80,15.19
178,Barrow,AR,1547431414,-60.23,-38.31,64.09,97,92,10.16
179,Tiksi,RU,1547431473,128.87,71.64,-38.51,0,0,2.39
180,Papetoai,PF,1547429400,-149.87,-17.5,82.4,74,90,16.11
181,Saint-Francois,FR,1547429400,3.91,46.42,46.4,93,90,16.11
182,Avarua,CK,1547427600,-159.78,-21.21,86,70,40,9.17
183,Hobart,AU,1547429400,147.33,-42.88,75.2,33,0,13.87
184,Melendugno,IT,1547430600,18.34,40.27,44.6,100,0,9.17
185,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
186,Hambantota,LK,1547428200,81.12,6.12,75.2,100,75,3.36
187,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
188,East London,ZA,1547431559,27.91,-33.02,69.76,100,0,5.08
189,Tupik,RU,1547431613,119.94,54.43,-9.44,63,12,6.58
190,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
191,Thompson,CA,1547427600,-97.86,55.74,5,84,5,6.93
192,Vaini,IN,1547427600,74.49,15.34,55.4,93,0,5.91
193,Otane,NZ,1547431614,176.62,-39.89,56.26,100,80,3.29
195,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
196,Los Llanos de Aridane,ES,1547429400,-17.92,28.66,69.8,15,0,11.41
198,Torbay,CA,1547427600,-52.73,47.66,24.8,68,90,20.8
199,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
200,Hobart,AU,1547429400,147.33,-42.88,75.2,33,0,13.87
201,Georgetown,GY,1547427600,-58.16,6.8,78.8,78,40,9.17
202,Thompson,CA,1547427600,-97.86,55.74,5,84,5,6.93
203,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
205,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
206,Moron,VE,1547431544,-68.2,10.49,65.62,94,76,2.62
207,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
208,Novyy Urengoy,RU,1547431617,76.63,66.08,13.87,74,88,14.36
209,Kahului,US,1547427360,-156.47,20.89,82.94,53,40,6.93
210,Bitung,ID,1547429400,125.19,1.44,77,100,40,3.36
211,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
212,New Panay,PH,1547431619,124.93,6.85,83.53,79,0,1.39
213,Hobart,AU,1547429400,147.33,-42.88,75.2,33,0,13.87
214,Meulaboh,ID,1547431619,96.13,4.14,80.56,100,0,5.35
215,Cabo San Lucas,MX,1547426820,-109.91,22.89,73.4,64,5,4.7
216,Thompson,CA,1547427600,-97.86,55.74,5,84,5,6.93
217,Trofaiach,AT,1547430600,15.01,47.43,32,84,20,1.12
219,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
220,Sawtell,AU,1547429400,153.1,-30.38,82.4,54,0,9.17
221,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
222,Ikom,NG,1547431621,8.72,5.96,71.74,91,8,3.89
223,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
224,Cape Town,ZA,1547427600,18.42,-33.93,59,82,0,3.36
225,Georgetown,GY,1547427600,-58.16,6.8,78.8,78,40,9.17
226,Jinji,CN,1547431622,112.49,22.16,66.34,85,88,5.64
227,Wasilla,US,1547427480,-149.44,61.58,28.04,91,90,4.7
228,Thompson,CA,1547427600,-97.86,55.74,5,84,5,6.93
229,Nikolskoye,RU,1547429400,30.79,59.7,26.6,100,75,11.18
230,Lebu,ET,1547427600,38.73,8.96,48.2,45,0,3.36
231,Tadine,NC,1547431623,167.88,-21.55,79.48,93,88,19.44
232,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
233,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
234,Ribeira Grande,PT,1547431573,-28.7,38.52,61.3,100,76,12.35
235,Kirakira,SB,1547431584,161.92,-10.46,82.81,100,12,7.87
237,Khatanga,RU,1547431583,102.47,71.98,-27.89,44,44,9.78
238,Bushenyi,UG,1547431625,30.19,-0.54,60.49,81,80,2.28
239,Dicabisagan,PH,1547431626,122.42,17.08,75.88,100,88,9.37
240,Namatanai,PG,1547431438,152.44,-3.66,83.53,100,32,13.96
241,Port Alfred,ZA,1547431589,26.89,-33.59,66.61,98,88,7.09
242,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
243,Ponta do Sol,BR,1547431626,-46,-20.63,65.44,94,44,3.29
244,Sioux Lookout,CA,1547430180,-91.92,50.1,24.8,92,90,12.75
246,Puerto Baquerizo Moreno,EC,1547431627,-89.6,-0.9,76.51,97,0,8.81
247,Bluff,AU,1547431581,149.07,-23.58,91.72,39,0,12.95
248,Port Alfred,ZA,1547431589,26.89,-33.59,66.61,98,88,7.09
249,Pasni,PK,1547431538,63.48,25.26,70.3,99,0,14.14
250,Okhotsk,RU,1547431628,143.24,59.36,-6.74,100,32,7.58
251,Okhotsk,RU,1547431628,143.24,59.36,-6.74,100,32,7.58
252,Bluff,AU,1547431581,149.07,-23.58,91.72,39,0,12.95
253,Lacombe,CA,1547427600,-113.73,52.47,23,73,40,2.89
254,Oussouye,SN,1547431631,-16.54,12.49,75.79,84,0,8.25
255,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
256,Constitucion,MX,1547426460,-104.67,23.99,64.4,20,5,16.11
257,Kyaukse,MM,1547429400,96.13,21.6,57.2,87,75,3.36
258,Nokaneng,BW,1547431632,22.19,-19.66,71.56,81,20,3.22
259,Nurota,UZ,1547429400,65.69,40.56,37.4,51,68,11.41
261,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
262,Sibanicu,CU,1547427120,-77.53,21.23,73.4,88,20,10.29
263,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
264,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
265,Cape Town,ZA,1547427600,18.42,-33.93,59,82,0,3.36
266,Nikolskoye,RU,1547429400,30.79,59.7,26.6,100,75,11.18
267,Amga,RU,1547431635,131.98,60.89,-25.01,37,68,3.62
268,Carnarvon,ZA,1547431635,22.13,-30.97,50.86,65,0,5.53
269,Fortuna,ES,1547429400,-1.13,38.18,51.8,71,0,10.29
271,Codrington,AU,1547427600,153.24,-28.95,86,48,75,10.29
272,Torbay,CA,1547427600,-52.73,47.66,24.8,68,90,20.8
273,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
274,Ranir Bazar,IN,1547427600,91.36,23.84,50,93,0,3.62
277,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
278,Taoudenni,ML,1547431415,-3.98,22.68,42.67,31,0,11.56
279,Libreville,GA,1547429400,9.45,0.39,82.4,78,75,8.05
280,Pala,IN,1547429400,76.68,9.71,68,88,0,2.73
281,Mataura,NZ,1547431419,168.86,-46.19,62.38,78,36,7.54
282,Vaini,IN,1547427600,74.49,15.34,55.4,93,0,5.91
283,Port Elizabeth,US,1547430840,-74.98,39.31,32,66,90,16.11
284,Dikson,RU,1547431417,80.55,73.51,0.64,94,80,30.69
285,Tura,IN,1547431484,90.21,25.52,61.84,80,0,4.79
286,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
287,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
288,Ixtapa,MX,1547426940,-105.21,20.71,78.8,78,40,8.05
289,Port Alfred,ZA,1547431589,26.89,-33.59,66.61,98,88,7.09
290,Atuona,PF,1547431570,-139.03,-9.8,81.28,100,100,14.7
291,Nouadhibou,MR,1547431641,-17.03,20.93,60.49,80,44,8.03
292,Bathsheba,BB,1547427600,-59.52,13.22,75.2,78,40,12.75
293,Port Elizabeth,US,1547430840,-74.98,39.31,32,66,90,16.11
294,Sakaiminato,JP,1547427600,133.23,35.55,42.8,100,40,2.24
295,Gambela,ET,1547431645,34.59,8.25,55.81,69,0,4.63
296,Limbang,BN,1547429400,115.01,4.75,84.2,83,75,4.7
297,Puerto Escondido,MX,1547426400,-97.07,15.86,80.6,74,75,6.58
299,Snasa,NO,1547431646,12.38,64.25,26.56,85,92,10.04
300,Narsaq,GL,1547427000,-46.05,60.91,21.2,73,32,2.24
301,Kapaa,US,1547427360,-159.32,22.08,78.98,68,40,6.93
302,Saint-Philippe,CA,1547430360,-73.48,45.36,8.6,78,1,2.24
304,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
305,Barrow,AR,1547431414,-60.23,-38.31,64.09,97,92,10.16
306,Vaini,IN,1547427600,74.49,15.34,55.4,93,0,5.91
307,Aklavik,CA,1547427600,-135.01,68.22,-23.81,67,20,9.17
308,Guardiagrele,IT,1547427000,14.22,42.2,39.2,86,0,3.36
309,Tuktoyaktuk,CA,1547427600,-133.03,69.44,-23.81,74,40,21.92
310,Mar del Plata,AR,1547431562,-67.52,-46.43,59.41,65,0,5.57
312,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
313,Contamana,PE,1547431650,-75.01,-7.35,75.61,92,56,0.76
314,Dikson,RU,1547431417,80.55,73.51,0.64,94,80,30.69
315,Mataura,NZ,1547431419,168.86,-46.19,62.38,78,36,7.54
316,Talnakh,RU,1547431476,88.39,69.49,-10.79,72,76,21.9
317,Simoes,BR,1547431516,-40.82,-7.6,69.31,91,88,8.1
318,Torbay,CA,1547427600,-52.73,47.66,24.8,68,90,20.8
319,Puerto Ayora,EC,1547431608,-90.35,-0.74,76.6,99,88,7.02
320,Yellowknife,CA,1547427600,-114.38,62.45,-27.41,67,20,5.82
321,Dukat,RS,1547431651,22.31,42.44,7.66,67,0,2.06
322,Zarinsk,RU,1547431652,84.95,53.71,-4.22,52,0,4.12
323,Chuy,UY,1547431530,-53.46,-33.69,71.38,98,92,10.89
324,Presidencia Roque Saenz Pena,AR,1547431652,-60.44,-26.79,73.18,97,92,5.91
325,Chokurdakh,RU,1547431563,147.9,70.62,-26.72,42,20,2.89
326,Haines Junction,CA,1547431653,-137.51,60.75,-13.58,74,44,1.83
327,Taoudenni,ML,1547431415,-3.98,22.68,42.67,31,0,11.56
328,Millinocket,US,1547430780,-68.71,45.66,6.08,75,1,5.82
329,Verkhnyaya Inta,RU,1547431654,60.32,65.99,5.95,79,68,3.4
330,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
331,Qasigiannguit,GL,1547427000,-51.19,68.82,-0.41,59,12,4.7
333,Vaini,IN,1547427600,74.49,15.34,55.4,93,0,5.91
335,Klaksvik,FO,1547430600,-6.59,62.23,32,100,20,10.29
336,Westport,IE,1547431655,-9.52,53.8,46.36,92,88,12.28
337,Santa Maria,BR,1547427600,-53.81,-29.69,71.6,100,75,5.82
338,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
340,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
341,Cabedelo,BR,1547427600,-34.84,-6.97,77,94,0,5.82
342,Georgetown,GY,1547427600,-58.16,6.8,78.8,78,40,9.17
343,Saskylakh,RU,1547431440,114.09,71.97,-56.51,0,0,7.92
344,Castro,CL,1547427600,-73.76,-42.48,53.6,76,0,4.7
345,Bredasdorp,ZA,1547427600,20.04,-34.53,64.4,72,88,1.12
346,Mataura,NZ,1547431419,168.86,-46.19,62.38,78,36,7.54
347,Tuktoyaktuk,CA,1547427600,-133.03,69.44,-23.81,74,40,21.92
348,Avarua,CK,1547427600,-159.78,-21.21,86,70,40,9.17
349,Mokhsogollokh,RU,1547431659,128.95,61.4,-25.64,39,44,3.4
350,Lasa,CY,1547429400,32.53,34.92,46.4,87,88,3.36
351,Vallenar,CL,1547431660,-70.76,-28.58,53.2,89,0,2.21
352,Katsuura,JP,1547427600,134.5,33.93,44.6,75,20,8.05
353,Sinnamary,GF,1547431660,-52.96,5.38,78.85,95,92,8.66
354,Severo-Kurilsk,RU,1547431439,156.12,50.68,31.24,100,64,6.13
355,Navashino,RU,1547431661,42.19,55.54,21.61,88,88,14.97
356,Sechura,PE,1547431661,-80.82,-5.56,74.17,77,12,13.13
357,Norrkoping,SE,1547428800,16.18,58.59,24.8,79,0,12.75
359,Horadiz,AZ,1547427600,47.33,39.45,37.4,86,75,3.11
360,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
361,Kupang,ID,1547429400,123.6,-10.16,86,70,75,2.24
362,Dikson,RU,1547431417,80.55,73.51,0.64,94,80,30.69
363,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
364,Carnarvon,ZA,1547431635,22.13,-30.97,50.86,65,0,5.53
365,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
366,Miri,NG,1547431664,9.75,10.31,55.18,55,8,4
369,Codrington,AU,1547427600,153.24,-28.95,86,48,75,10.29
370,Nouadhibou,MR,1547431641,-17.03,20.93,60.49,80,44,8.03
371,Puerto Ayora,EC,1547431608,-90.35,-0.74,76.6,99,88,7.02
373,Ostrovnoy,RU,1547431604,39.51,68.05,16.21,98,80,11.83
374,Arraial do Cabo,BR,1547431565,-42.02,-22.97,76.42,87,0,14.14
376,Constantine,DZ,1547429400,6.61,36.36,35.6,89,20,5.41
377,Fortuna,ES,1547429400,-1.13,38.18,51.8,71,0,10.29
378,Saint-Philippe,CA,1547430360,-73.48,45.36,8.6,78,1,2.24
379,Atuona,PF,1547431570,-139.03,-9.8,81.28,100,100,14.7
380,Arraial do Cabo,BR,1547431565,-42.02,-22.97,76.42,87,0,14.14
381,Hermanus,ZA,1547431576,19.24,-34.42,54.55,96,76,2.73
382,Walvis Bay,NA,1547427600,14.51,-22.95,64.4,88,92,2.24
383,Esperance,TT,1547427600,-61.45,10.24,75.2,73,20,4.85
384,Port Alfred,ZA,1547431589,26.89,-33.59,66.61,98,88,7.09
385,Cabedelo,BR,1547427600,-34.84,-6.97,77,94,0,5.82
386,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
387,Saravan,AM,1547429400,45.65,39.72,28.4,92,75,2.24
388,Carnarvon,ZA,1547431635,22.13,-30.97,50.86,65,0,5.53
389,Klaksvik,FO,1547430600,-6.59,62.23,32,100,20,10.29
390,Kawalu,ID,1547431673,108.21,-7.38,75.43,87,48,3
392,Chuy,UY,1547431530,-53.46,-33.69,71.38,98,92,10.89
393,Kapaa,US,1547427360,-159.32,22.08,78.98,68,40,6.93
394,Sa Kaeo,TH,1547431674,102.09,13.8,87.31,52,8,4.56
395,Tankhoy,RU,1547431674,105.12,51.55,-4.49,76,0,3.06
396,Dikson,RU,1547431417,80.55,73.51,0.64,94,80,30.69
397,Santa Cruz de la Palma,ES,1547429400,-17.76,28.68,69.8,15,0,11.41
398,Aasiaat,GL,1547431675,-52.87,68.71,5.14,100,24,14.97
399,Kharp,RU,1547431676,65.8,66.82,4.78,59,68,7.02
400,Lavrentiya,RU,1547431581,-170.99,65.58,0.46,100,92,34.72
402,New Norfolk,AU,1547429400,147.06,-42.78,75.2,33,0,13.87
403,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
404,Provideniya,RU,1547429400,-173.23,64.42,3.2,71,90,20.13
405,Ubauro,PK,1547431677,69.73,28.16,50.86,92,0,7.58
406,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
407,Luderitz,NA,1547431576,15.16,-26.65,60.58,89,0,12.8
408,Yellowknife,CA,1547427600,-114.38,62.45,-27.41,67,20,5.82
409,Bambous Virieux,MU,1547427600,57.76,-20.34,78.8,74,40,9.17
410,Iki-Burul,RU,1547429400,44.65,45.82,30.2,100,64,6.71
412,Nagua,DO,1547431679,-69.85,19.37,75.34,91,88,6.42
413,Marsabit,KE,1547431679,37.99,2.34,63.28,71,0,2.84
414,Victoria,BN,1547429400,115.24,5.28,84.2,79,75,3.36
415,Severo-Kurilsk,RU,1547431439,156.12,50.68,31.24,100,64,6.13
416,Gubkinskiy,RU,1547431680,76.5,64.43,20.08,87,88,16.42
417,Ancud,CL,1547427600,-73.83,-41.87,53.6,76,0,4.7
